;;;;;;;;;;;;;;;;;;
Première année;;;;;Deuxième année;;;;;Données totales sur 2 ans;;;;;Répartition initiale troupeau;;;
Age;Total Number of Relocalisation;Number of Females;Number of Males;distribution;Age;Total Number of Relocalisation;Number of Females;Number of Males;distribution;âge;Total;Femelles;Mâles;Distribution;âge;total;Femelles;Mâles
0;103;50;53;0,041432019;0;98;57;41;0,042150538;0;201;107;94;0,041779256;0;459;229;229
1;77;36;41;0,030973451;1;74;34;40;0,031827957;1;151;70;81;0,031386406;1;345;172;172
2;71;41;30;0,028559936;2;69;33;36;0,029677419;2;140;74;66;0,029099979;2;320;160;160
3;70;29;41;0,028157683;3;61;29;32;0,026236559;3;131;58;73;0,027229266;3;299;149;149
4;68;31;37;0,027353178;4;60;34;26;0,025806452;4;128;65;63;0,026605695;4;292;146;146
5;61;30;31;0,024537409;5;54;28;26;0,023225806;5;115;58;57;0,023903554;5;262;131;131
6;58;28;30;0,023330652;6;57;27;30;0,024516129;6;115;55;60;0,023903554;6;262;131;131
7;51;24;27;0,020514883;7;59;31;28;0,025376344;7;110;55;55;0,022864269;7;251;125;125
8;52;22;30;0,020917136;8;58;25;33;0,024946237;8;110;47;63;0,022864269;8;251;125;125
9;51;29;22;0,020514883;9;57;25;32;0,024516129;9;108;54;54;0,022448555;9;246;123;123
10;51;27;24;0,020514883;10;60;26;34;0,025806452;10;111;53;58;0,023072126;10;253;126;126
11;50;27;23;0,020112631;11;63;36;27;0,027096774;11;113;63;50;0,02348784;11;258;129;129
12;51;26;25;0,020514883;12;64;38;26;0,027526882;12;115;64;51;0,023903554;12;262;131;131
13;48;27;21;0,019308126;13;60;30;30;0,025806452;13;108;57;51;0,022448555;13;246;123;123
14;47;26;21;0,018905873;14;63;33;30;0,027096774;14;110;59;51;0,022864269;14;251;125;125
15;49;25;24;0,019710378;15;59;34;25;0,025376344;15;108;59;49;0,022448555;15;246;123;123
16;48;28;20;0,019308126;16;52;24;28;0,022365591;16;100;52;48;0,020785699;16;228;114;114
17;47;27;20;0,018905873;17;55;30;25;0,023655914;17;102;57;45;0,021201413;17;233;116;116
18;43;19;24;0,017296862;18;49;21;28;0,021075269;18;92;40;52;0,019122843;18;210;105;105
19;42;25;17;0,01689461;19;50;30;20;0,021505376;19;92;55;37;0,019122843;19;210;105;105
20;42;18;24;0,01689461;20;53;29;24;0,022795699;20;95;47;48;0,019746414;20;217;108;108
21;37;16;21;0,014883347;21;57;27;30;0,024516129;21;94;43;51;0,019538557;21;214;107;107
22;39;19;20;0,015687852;22;65;40;25;0,027956989;22;104;59;45;0,021617127;22;237;118;118
23;41;24;17;0,016492357;23;53;23;30;0,022795699;23;94;47;47;0,019538557;23;214;107;107
24;42;17;25;0,01689461;24;56;29;27;0,024086022;24;98;46;52;0,020369985;24;224;112;112
25;43;25;18;0,017296862;25;50;24;26;0,021505376;25;93;49;44;0,0193307;25;212;106;106
26;45;21;24;0,018101368;26;53;21;32;0,022795699;26;98;42;56;0,020369985;26;224;112;112
27;48;26;22;0,019308126;27;49;26;23;0,021075269;27;97;52;45;0,020162128;27;221;110;110
28;49;29;20;0,019710378;28;43;24;19;0,018494624;28;92;53;39;0,019122843;28;210;105;105
29;47;27;20;0,018905873;29;40;16;24;0,017204301;29;87;43;44;0,018083559;29;198;99;99
30;46;24;22;0,01850362;30;38;17;21;0,016344086;30;84;41;43;0,017459988;30;192;96;96
31;42;22;20;0,01689461;31;35;16;19;0,015053763;31;77;38;39;0,016004989;31;176;88;88
32;42;20;22;0,01689461;32;37;18;19;0,015913978;32;79;38;41;0,016420703;32;180;90;90
33;44;22;22;0,017699115;33;33;18;15;0,014193548;33;77;40;37;0,016004989;33;176;88;88
34;46;24;22;0,01850362;34;20;15;5;0,008602151;34;66;39;27;0,013718562;34;150;75;75
35;49;24;25;0,019710378;35;33;18;15;0,014193548;35;82;42;40;0,017044274;35;187;93;93
36;47;23;24;0,018905873;36;30;12;18;0,012903226;36;77;35;42;0,016004989;36;176;88;88
37;48;25;23;0,019308126;37;29;17;12;0,012473118;37;77;42;35;0,016004989;37;176;88;88
38;46;21;25;0,01850362;38;29;16;13;0,012473118;38;75;37;38;0,015589275;38;171;85;85
39;41;24;17;0,016492357;39;26;13;13;0,011182796;39;67;37;30;0,013926419;39;153;76;76
40;41;24;17;0,016492357;49;10;6;4;0,004301075;40;51;30;21;0,010600707;40;116;58;58
41;42;19;23;0,01689461;41;24;11;13;0,010322581;41;66;30;36;0,013718562;41;150;75;75
42;43;26;17;0,017296862;42;25;14;11;0,010752688;42;68;40;28;0,014134276;42;155;77;77
43;38;20;18;0,015285599;43;22;10;12;0,009462366;43;60;30;30;0,01247142;43;137;68;68
44;34;20;14;0,013676589;44;21;10;11;0,009032258;44;55;30;25;0,011432135;44;125;62;62
45;34;15;19;0,013676589;45;22;12;10;0,009462366;45;56;27;29;0,011639992;45;128;64;64
